id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,User_CSAT,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-D4-029,D4_User,85.0,6.12,45.1023,0.000940,75.7,0.0,100.0,0.0,7.0,1,26.06
CIB-D4-030,D4_User,95.0,6.12,34.7345,0.000724,71.0,0.0,100.0,0.0,28.4,1,29.26
CIB-D4-031,D4_User,92.0,6.12,44.1163,0.000919,87.4,0.0,100.0,0.0,9.1,1,26.36
CIB-D4-032,D4_User,93.0,6.12,35.8767,0.000747,77.3,0.0,100.0,0.0,26.1,1,28.91
CIB-D4-033,D4_User,97.0,6.12,45.2199,0.000942,71.5,0.0,100.0,0.0,6.8,1,26.02
CIB-D4-034,D4_User,94.0,6.12,48.7663,0.001016,70.1,0.0,100.0,0.0,0.0,1,25.00
CIB-D4-035,D4_User,91.0,6.12,44.9683,0.000937,72.1,0.0,100.0,0.0,7.3,1,26.10
CIB-D4-036,D4_User,96.0,6.12,44.8470,0.000934,61.1,0.0,100.0,0.0,7.6,1,26.14
CIB-D4-037,D4_User,90.0,6.12,44.3764,0.000925,73.5,0.0,100.0,0.0,8.5,1,26.28
CIB-D4-038,D4_User,89.0,6.12,32.0561,0.000668,70.4,0.0,100.0,0.0,33.9,1,30.09
CIB-D4-039,D4_User,92.0,6.12,44.7361,0.000932,74.2,0.0,100.0,0.0,7.8,1,26.17
CIB-D4-040,D4_User,94.0,6.12,44.8150,0.000934,65.9,0.0,100.0,0.0,7.6,1,26.14
CIB-D4-041,D4_User,95.0,6.12,38.6453,0.000805,82.6,0.0,100.0,0.0,20.3,1,28.05
CIB-D4-042,D4_User,90.0,6.12,42.7872,0.000891,78.0,0.0,100.0,0.0,11.8,1,26.77
CIB-D4-043,D4_User,93.0,6.12,31.5854,0.000658,73.7,0.0,100.0,0.0,34.9,1,30.23
CIB-D4-044,D4_User,91.0,6.12,44.7217,0.000932,68.5,0.0,100.0,0.0,7.8,1,26.17
CIB-D4-045,D4_User,91.0,6.12,39.3500,0.000820,75.2,0.0,100.0,0.0,18.9,1,27.83
CIB-D4-046,D4_User,92.0,6.12,44.7812,0.000933,86.0,0.0,100.0,0.0,7.7,1,26.16
CIB-D4-047,D4_User,90.0,6.12,39.4587,0.000822,73.3,0.0,100.0,0.0,18.7,1,27.80
CIB-D4-048,D4_User,93.0,6.12,44.1795,0.000920,76.9,0.0,100.0,0.0,8.9,1,26.34
CIB-D4-049,D4_User,96.0,6.12,44.7388,0.000932,81.9,0.0,100.0,0.0,7.8,1,26.17
CIB-D4-050,D4_User,100.0,6.12,7.3678,0.000153,74.5,0.0,100.0,0.0,84.9,1,37.73
