id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,B1_Leak,B2_Vuln,B3_License_Risk,B4_A11Y,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-B1-088,D2_Secu,100.0,6.12,10.1182,0.000211,0,0,0,100,0.0,100.0,0.0,79.2,1,36.87
CIB-B1-089,D2_Secu,100.0,6.12,26.3428,0.000549,0,0,0,100,0.0,100.0,0.0,45.8,1,31.87
CIB-B1-090,D2_Secu,100.0,6.12,9.9898,0.000208,0,0,0,100,0.0,100.0,0.0,79.4,1,36.91
CIB-B1-091,D2_Secu,25.0,6.12,10.6875,0.000223,0,1,0,100,0.0,0.0,0.0,78.0,0,0.00
CIB-B1-092,D2_Secu,100.0,6.12,44.6567,0.000930,0,0,0,100,0.0,100.0,0.0,8.0,1,26.20
CIB-B1-093,D2_Secu,100.0,6.12,6.1091,0.000127,0,0,0,100,0.0,100.0,0.0,87.4,1,38.12
CIB-B1-094,D2_Secu,100.0,6.12,12.0108,0.000250,0,0,0,100,0.0,100.0,0.0,75.3,1,36.29
CIB-B1-095,D2_Secu,25.0,6.12,44.6492,0.000930,0,1,0,100,0.0,0.0,0.0,8.1,0,0.00
CIB-B1-096,D2_Secu,12.0,6.12,7.1193,0.000148,0,1,0,100,0.0,0.0,0.0,85.3,0,0.00
CIB-B1-097,D2_Secu,100.0,6.12,14.5981,0.000304,0,0,0,100,0.0,100.0,0.0,70.0,1,35.49
CIB-B1-098,D2_Secu,100.0,6.12,8.0270,0.000167,0,0,0,100,0.0,100.0,0.0,83.5,1,37.52
CIB-B1-099,D2_Secu,100.0,6.12,9.7999,0.000204,0,0,0,100,0.0,100.0,0.0,79.8,1,36.97
CIB-B1-100,D2_Secu,100.0,6.12,6.4306,0.000134,0,0,0,100,0.0,100.0,0.0,86.8,1,38.02
