id,dataset,R_Score,D1_VRAM_GB,D_Latency_Sec,D4_Energy_kWh,A1_Functional,A2_Lint,A3_Format,A4_Explainability,Score_A,Score_B,Score_C,Score_D,P_Veto,S_Global
CIB-A1-024,D1_Code,99.5,6.12,2.2783,0.000047,100.0,100.0,100.0,82.2,95.6,100.0,0.0,98.3,1,83.20
CIB-A1-025,D1_Code,93.0,6.12,2.2974,0.000048,100.0,100.0,100.0,17.4,79.4,100.0,0.0,98.3,1,77.53
CIB-A1-026,D1_Code,94.0,6.12,2.2212,0.000046,100.0,100.0,100.0,57.8,89.5,100.0,0.0,98.3,1,81.07
CIB-A1-027,D1_Code,97.0,6.12,3.7992,0.000079,100.0,100.0,100.0,71.6,92.9,100.0,0.0,97.2,1,82.09
CIB-A1-028,D1_Code,98.0,6.12,7.6226,0.000159,100.0,100.0,100.0,74.9,93.7,100.0,0.0,94.4,1,81.96
CIB-A1-029,D1_Code,92.0,6.12,5.5889,0.000116,100.0,100.0,100.0,56.3,89.1,100.0,0.0,95.9,1,80.57
CIB-A1-030,D1_Code,80.0,6.12,3.7431,0.000078,0.0,80.0,100.0,36.1,54.0,100.0,0.0,97.2,1,58.48
CIB-A1-031,D1_Code,90.0,6.12,2.0361,0.000042,100.0,100.0,100.0,50.8,87.7,100.0,0.0,98.5,1,80.47
CIB-A1-032,D1_Code,96.0,6.12,3.3397,0.000070,100.0,100.0,100.0,68.1,92.0,100.0,0.0,97.5,1,81.82
CIB-A1-033,D1_Code,95.0,6.12,3.6876,0.000077,100.0,100.0,100.0,66.7,91.7,100.0,0.0,97.3,1,81.69
CIB-A1-034,D1_Code,98.0,6.12,2.6462,0.000055,100.0,100.0,100.0,78.4,94.6,100.0,0.0,98.0,1,82.81
CIB-A1-035,D1_Code,87.0,6.12,6.2239,0.000130,0.0,90.0,100.0,61.8,63.0,100.0,0.0,95.4,1,61.36
CIB-A1-036,D1_Code,94.0,6.12,2.3043,0.000048,100.0,100.0,100.0,59.7,89.9,100.0,0.0,98.3,1,81.21
CIB-A1-037,D1_Code,85.0,6.12,15.6279,0.000326,100.0,90.0,100.0,37.0,81.8,100.0,0.0,88.5,1,76.91
CIB-A1-038,D1_Code,90.0,6.12,4.9540,0.000103,100.0,95.0,100.0,44.6,84.9,100.0,0.0,96.3,1,79.16
CIB-A1-039,D1_Code,82.0,6.12,3.6142,0.000075,0.0,80.0,100.0,73.3,63.3,100.0,0.0,97.3,1,61.75
CIB-A1-040,D1_Code,95.0,6.12,3.3732,0.000070,100.0,100.0,100.0,63.1,90.8,100.0,0.0,97.5,1,81.40
CIB-A1-041,D1_Code,98.0,6.12,4.0161,0.000084,100.0,100.0,100.0,77.4,94.4,100.0,0.0,97.0,1,82.59
CIB-A1-042,D1_Code,99.0,6.12,3.7221,0.000078,100.0,100.0,100.0,80.5,95.1,100.0,0.0,97.2,1,82.86
CIB-A1-043,D1_Code,92.0,6.12,2.5837,0.000054,100.0,100.0,100.0,56.3,89.1,100.0,0.0,98.1,1,80.90
CIB-A1-044,D1_Code,95.0,6.12,3.2658,0.000068,100.0,100.0,100.0,66.7,91.7,100.0,0.0,97.6,1,81.74
CIB-A1-045,D1_Code,97.0,6.12,2.3748,0.000049,100.0,100.0,100.0,71.9,93.0,100.0,0.0,98.2,1,82.28
CIB-A1-046,D1_Code,98.0,6.12,3.0282,0.000063,100.0,100.0,100.0,79.0,94.8,100.0,0.0,97.7,1,82.84
CIB-A1-047,D1_Code,90.0,6.12,3.0016,0.000063,100.0,100.0,100.0,52.1,88.0,100.0,0.0,97.8,1,80.47
CIB-A1-048,D1_Code,88.0,6.12,2.5333,0.000053,0.0,85.0,100.0,68.4,63.4,100.0,0.0,98.1,1,61.91
CIB-A1-049,D1_Code,96.0,6.12,1.8671,0.000039,100.0,100.0,100.0,68.2,92.1,100.0,0.0,98.6,1,82.02
CIB-A1-050,D1_Code,85.0,6.12,5.7456,0.000120,100.0,90.0,100.0,44.2,83.6,100.0,0.0,95.7,1,78.62
CIB-A1-051,D1_Code,94.0,6.12,19.8956,0.000415,100.0,100.0,100.0,63.5,90.9,100.0,0.0,85.3,1,79.61
CIB-A1-052,D1_Code,95.0,6.12,26.8226,0.000559,100.0,100.0,100.0,63.6,90.9,100.0,0.0,80.4,1,78.88
CIB-A1-053,D1_Code,88.0,6.12,26.9571,0.000562,0.0,85.0,100.0,63.9,62.2,100.0,0.0,80.3,1,58.82
CIB-A1-054,D1_Code,89.0,6.12,13.0636,0.000272,100.0,95.0,100.0,49.0,86.0,100.0,0.0,90.4,1,78.66
CIB-A1-055,D1_Code,96.0,6.12,19.2313,0.000401,100.0,100.0,100.0,68.3,92.1,100.0,0.0,85.8,1,79.10
CIB-A1-056,D1_Code,80.0,6.12,16.9406,0.000353,0.0,80.0,100.0,43.9,56.0,100.0,0.0,87.6,1,57.74
CIB-A1-057,D1_Code,93.0,6.12,8.6879,0.000181,100.0,100.0,100.0,59.8,90.0,100.0,0.0,93.6,1,80.54
CIB-A1-058,D1_Code,92.0,6.12,12.3058,0.000256,100.0,100.0,100.0,58.5,89.6,100.0,0.0,90.9,1,80.00
CIB-A1-059,D1_Code,82.0,6.12,31.7389,0.000661,0.0,85.0,100.0,54.3,59.8,100.0,0.0,76.9,1,57.47
CIB-A1-060,D1_Code,97.0,6.12,3.1627,0.000066,100.0,100.0,100.0,73.3,93.3,100.0,0.0,97.6,1,82.31
CIB-A1-061,D1_Code,70.0,6.12,2.3169,0.000048,100.0,80.0,100.0,20.0,75.0,100.0,0.0,98.3,1,76.00
CIB-A1-062,D1_Code,90.0,6.12,2.4155,0.000050,100.0,100.0,100.0,50.8,87.7,100.0,0.0,98.2,1,80.43
CIB-A1-063,D1_Code,86.0,6.12,4.2388,0.000088,0.0,90.0,100.0,54.5,61.1,100.0,0.0,96.9,1,60.92
CIB-A1-064,D1_Code,88.0,6.12,5.1505,0.000107,0.0,90.0,100.0,59.7,62.4,100.0,0.0,96.2,1,61.27
CIB-A1-065,D1_Code,85.0,6.12,3.2294,0.000067,0.0,85.0,100.0,86.3,67.8,100.0,0.0,97.6,1,63.37
CIB-A1-066,D1_Code,90.0,6.12,4.3967,0.000092,100.0,100.0,100.0,51.1,87.8,100.0,0.0,96.7,1,80.24
CIB-A1-067,D1_Code,96.0,6.12,2.9064,0.000061,100.0,100.0,100.0,71.9,93.0,100.0,0.0,97.8,1,82.22
CIB-A1-068,D1_Code,85.0,6.12,3.7136,0.000077,100.0,90.0,100.0,27.7,79.4,100.0,0.0,97.2,1,77.37
CIB-A1-069,D1_Code,91.0,6.12,3.7843,0.000079,100.0,100.0,100.0,55.8,89.0,100.0,0.0,97.2,1,80.73
CIB-A1-070,D1_Code,90.0,6.12,1.9568,0.000041,100.0,100.0,100.0,25.9,81.5,100.0,0.0,98.5,1,78.30
CIB-A1-071,D1_Code,88.0,6.12,4.2065,0.000088,100.0,100.0,100.0,23.3,80.8,100.0,0.0,96.9,1,77.81
CIB-A1-072,D1_Code,95.0,6.12,10.7436,0.000224,100.0,100.0,100.0,65.3,91.3,100.0,0.0,92.1,1,80.77
CIB-A1-073,D1_Code,96.0,6.12,2.1409,0.000045,100.0,100.0,100.0,64.9,91.2,100.0,0.0,98.4,1,81.68
CIB-A1-074,D1_Code,98.0,6.12,2.7094,0.000056,100.0,100.0,100.0,77.2,94.3,100.0,0.0,98.0,1,82.70
CIB-A1-075,D1_Code,85.0,6.12,6.5534,0.000137,100.0,90.0,100.0,33.0,80.8,100.0,0.0,95.1,1,77.55
CIB-A1-076,D1_Code,97.0,6.12,6.3269,0.000132,100.0,100.0,100.0,74.8,93.7,100.0,0.0,95.3,1,82.09
CIB-A1-077,D1_Code,88.0,6.12,2.7677,0.000058,100.0,100.0,100.0,33.9,83.5,100.0,0.0,97.9,1,78.91
CIB-A1-078,D1_Code,93.0,6.12,3.2185,0.000067,100.0,100.0,100.0,58.7,89.7,100.0,0.0,97.6,1,81.03
CIB-A1-079,D1_Code,90.0,6.12,1.9606,0.000041,100.0,100.0,100.0,42.8,85.7,100.0,0.0,98.5,1,79.77
CIB-A1-080,D1_Code,85.0,6.12,2.8335,0.000059,100.0,90.0,100.0,16.4,76.6,100.0,0.0,97.9,1,76.49
CIB-A1-081,D1_Code,88.0,6.12,2.4099,0.000050,100.0,100.0,100.0,29.6,82.4,100.0,0.0,98.2,1,78.57
CIB-A1-082,D1_Code,97.0,6.12,2.0259,0.000042,100.0,100.0,100.0,74.4,93.6,100.0,0.0,98.5,1,82.53
CIB-A1-083,D1_Code,85.0,6.12,4.5946,0.000096,100.0,90.0,100.0,19.0,77.3,100.0,0.0,96.6,1,76.54
CIB-A1-084,D1_Code,92.0,6.12,17.6063,0.000367,100.0,100.0,100.0,49.5,87.4,100.0,0.0,87.1,1,78.65
CIB-A1-085,D1_Code,96.0,6.12,2.1233,0.000044,100.0,100.0,100.0,71.9,93.0,100.0,0.0,98.4,1,82.31
CIB-A1-086,D1_Code,99.0,6.12,2.4265,0.000051,100.0,100.0,100.0,81.5,95.4,100.0,0.0,98.2,1,83.12
CIB-A1-087,D1_Code,90.0,6.12,2.1110,0.000044,100.0,100.0,100.0,43.7,85.9,100.0,0.0,98.4,1,79.83
CIB-A1-088,D1_Code,93.0,6.12,7.7015,0.000160,100.0,100.0,100.0,58.8,89.7,100.0,0.0,94.3,1,80.54
CIB-A1-089,D1_Code,94.0,6.12,2.4691,0.000051,100.0,100.0,100.0,57.8,89.5,100.0,0.0,98.2,1,81.05
CIB-A1-090,D1_Code,90.0,6.12,3.0432,0.000063,100.0,100.0,100.0,43.3,85.8,100.0,0.0,97.7,1,79.69
CIB-A1-091,D1_Code,93.0,6.12,11.7951,0.000246,100.0,100.0,100.0,59.7,89.9,100.0,0.0,91.3,1,80.16
CIB-A1-092,D1_Code,88.0,6.12,1.8716,0.000039,100.0,100.0,100.0,34.4,83.6,100.0,0.0,98.6,1,79.05
CIB-A1-093,D1_Code,97.0,6.12,3.1791,0.000066,100.0,100.0,100.0,75.2,93.8,100.0,0.0,97.6,1,82.47
CIB-A1-094,D1_Code,93.0,6.12,10.1248,0.000211,100.0,100.0,100.0,58.1,89.5,100.0,0.0,92.5,1,79.70
CIB-A1-095,D1_Code,98.0,6.12,2.0372,0.000042,100.0,100.0,100.0,79.0,94.8,100.0,0.0,98.5,1,82.95
CIB-A1-096,D1_Code,85.0,6.12,2.7700,0.000058,0.0,80.0,100.0,34.4,53.6,100.0,0.0,97.9,1,58.45
CIB-A1-097,D1_Code,94.0,6.12,13.8325,0.000288,100.0,100.0,100.0,63.9,91.0,100.0,0.0,89.8,1,80.32
CIB-A1-098,D1_Code,92.0,6.12,2.1262,0.000044,100.0,100.0,100.0,56.3,89.1,100.0,0.0,98.4,1,80.94
CIB-A1-099,D1_Code,91.0,6.12,9.0412,0.000188,100.0,100.0,100.0,49.5,87.4,100.0,0.0,93.3,1,79.58
CIB-A1-100,D1_Code,93.0,6.12,20.5231,0.000428,100.0,100.0,100.0,58.6,89.7,100.0,0.0,84.9,1,79.13
CIB-A1-101,D1_Code,85.0,6.12,5.7863,0.000121,100.0,90.0,100.0,25.9,79.0,100.0,0.0,95.7,1,76.99
CIB-A1-102,D1_Code,90.0,6.12,2.7979,0.000058,100.0,100.0,100.0,49.8,87.5,100.0,0.0,97.9,1,80.31
CIB-A1-103,D1_Code,97.0,6.12,5.1733,0.000108,100.0,100.0,100.0,75.8,94.0,100.0,0.0,96.2,1,82.33
CIB-A1-104,D1_Code,93.0,6.12,4.1430,0.000086,100.0,100.0,100.0,57.6,89.4,100.0,0.0,96.9,1,80.82
CIB-A1-105,D1_Code,92.0,6.12,3.3336,0.000069,100.0,100.0,100.0,57.0,89.3,100.0,0.0,97.5,1,80.88
CIB-A1-106,D1_Code,89.0,6.12,8.0337,0.000167,0.0,85.0,100.0,59.9,61.2,100.0,0.0,94.1,1,59.54
CIB-A1-107,D1_Code,90.0,6.12,1.8566,0.000039,100.0,100.0,100.0,42.8,85.7,100.0,0.0,98.6,1,79.79
CIB-A1-108,D1_Code,95.0,6.12,8.4512,0.000176,0.0,90.0,100.0,74.9,66.2,100.0,0.0,93.7,1,62.22
CIB-A1-109,D1_Code,94.0,6.12,5.9778,0.000125,100.0,100.0,100.0,63.5,90.9,100.0,0.0,95.6,1,81.16
CIB-A1-110,D1_Code,93.0,6.12,3.2258,0.000067,100.0,100.0,100.0,60.3,90.1,100.0,0.0,97.6,1,81.18
CIB-A1-111,D1_Code,96.0,6.12,4.3874,0.000091,100.0,100.0,100.0,70.9,92.7,100.0,0.0,96.8,1,81.96
CIB-A1-112,D1_Code,94.0,6.12,5.2614,0.000110,100.0,100.0,100.0,61.9,90.5,100.0,0.0,96.1,1,81.09
CIB-A1-113,D1_Code,98.0,6.12,3.9061,0.000081,100.0,100.0,100.0,79.8,95.0,100.0,0.0,97.1,1,82.82
CIB-A1-114,D1_Code,98.0,6.12,3.0539,0.000064,100.0,100.0,100.0,79.8,95.0,100.0,0.0,97.7,1,82.91
CIB-A1-115,D1_Code,88.0,6.12,4.6266,0.000096,0.0,85.0,100.0,54.2,59.8,100.0,0.0,96.6,1,59.42
CIB-A1-116,D1_Code,93.0,6.12,2.2860,0.000048,100.0,100.0,100.0,60.9,90.2,100.0,0.0,98.3,1,81.32
CIB-A1-117,D1_Code,88.0,6.12,9.6123,0.000200,100.0,100.0,100.0,38.4,84.6,100.0,0.0,92.9,1,78.55
CIB-A1-118,D1_Code,90.0,6.12,6.3283,0.000132,100.0,100.0,100.0,49.6,87.4,100.0,0.0,95.3,1,79.89
CIB-A1-119,D1_Code,97.0,6.12,4.2086,0.000088,100.0,100.0,100.0,75.0,93.8,100.0,0.0,96.9,1,82.37
CIB-A1-120,D1_Code,92.0,6.12,4.9998,0.000104,100.0,100.0,100.0,56.9,89.2,100.0,0.0,96.3,1,80.67
CIB-A1-121,D1_Code,89.0,6.12,16.7502,0.000349,100.0,90.0,100.0,46.6,84.2,100.0,0.0,87.7,1,77.62
CIB-A1-122,D1_Code,92.0,6.12,5.2587,0.000110,100.0,100.0,100.0,58.3,89.6,100.0,0.0,96.1,1,80.77
CIB-A1-123,D1_Code,96.0,6.12,3.4275,0.000071,100.0,100.0,100.0,73.3,93.3,100.0,0.0,97.4,1,82.27
CIB-A1-124,D1_Code,88.0,6.12,20.2031,0.000421,0.0,85.0,100.0,52.8,59.5,100.0,0.0,85.1,1,58.59
CIB-A1-125,D1_Code,80.0,6.12,2.4897,0.000052,100.0,80.0,100.0,5.5,71.4,100.0,0.0,98.2,1,74.72
CIB-A1-126,D1_Code,95.0,6.12,2.2744,0.000047,0.0,90.0,100.0,74.4,66.1,100.0,0.0,98.3,1,62.88
CIB-A1-127,D1_Code,95.0,6.12,7.4634,0.000155,100.0,100.0,100.0,67.6,91.9,100.0,0.0,94.5,1,81.34
CIB-A1-128,D1_Code,95.0,6.12,5.4695,0.000114,100.0,100.0,100.0,68.3,92.1,100.0,0.0,95.9,1,81.62
CIB-A1-129,D1_Code,89.0,6.12,2.8570,0.000060,0.0,85.0,100.0,54.9,59.9,100.0,0.0,97.9,1,59.65
CIB-A1-130,D1_Code,93.0,6.12,8.2924,0.000173,100.0,100.0,100.0,60.5,90.1,100.0,0.0,93.9,1,80.62
CIB-A1-131,D1_Code,90.0,6.12,8.0879,0.000168,100.0,100.0,100.0,52.1,88.0,100.0,0.0,94.0,1,79.90
CIB-A1-132,D1_Code,86.0,6.12,2.7211,0.000057,100.0,100.0,100.0,36.7,84.2,100.0,0.0,98.0,1,79.17
CIB-A1-133,D1_Code,80.0,6.12,13.4633,0.000280,0.0,70.0,100.0,31.0,50.3,100.0,0.0,90.1,1,56.12
CIB-A1-134,D1_Code,94.0,6.12,3.2815,0.000068,100.0,100.0,100.0,65.4,91.4,100.0,0.0,97.6,1,81.63
CIB-A1-135,D1_Code,89.0,6.12,10.8460,0.000226,0.0,85.0,100.0,56.3,60.3,100.0,0.0,92.0,1,59.91
CIB-A1-136,D1_Code,97.0,6.12,20.3457,0.000424,100.0,100.0,100.0,76.8,94.2,100.0,0.0,85.0,1,80.72
CIB-A1-137,D1_Code,98.0,6.12,2.9408,0.000061,0.0,90.0,100.0,80.5,67.6,100.0,0.0,97.8,1,63.33
CIB-A1-138,D1_Code,89.0,6.12,2.4185,0.000050,0.0,85.0,100.0,53.9,59.7,100.0,0.0,98.2,1,59.62
CIB-A1-139,D1_Code,90.0,6.12,3.8009,0.000079,100.0,100.0,100.0,51.8,88.0,100.0,0.0,97.2,1,79.88
CIB-A1-140,D1_Code,98.0,6.12,2.6403,0.000055,100.0,100.0,100.0,80.5,95.1,100.0,0.0,98.0,1,82.98
CIB-A1-141,D1_Code,94.0,6.12,18.6659,0.000389,100.0,100.0,100.0,63.1,90.8,100.0,0.0,86.2,1,80.21
CIB-A1-142,D1_Code,87.0,6.12,5.7354,0.000120,100.0,100.0,100.0,36.7,84.2,100.0,0.0,95.8,1,78.84
CIB-A1-143,D1_Code,93.0,6.12,3.4016,0.000071,100.0,100.0,100.0,57.8,89.5,100.0,0.0,97.5,1,80.95
CIB-A1-144,D1_Code,90.0,6.12,3.8937,0.000081,0.0,90.0,100.0,50.3,60.1,100.0,0.0,97.1,1,60.60
CIB-A1-145,D1_Code,88.0,6.12,26.5177,0.000552,100.0,100.0,100.0,42.6,85.7,100.0,0.0,80.4,1,77.06
CIB-A1-146,D1_Code,93.0,6.12,2.8131,0.000059,100.0,100.0,100.0,58.7,89.7,100.0,0.0,97.9,1,81.08
CIB-A1-147,D1_Code,90.0,6.12,6.0946,0.000127,100.0,100.0,100.0,47.9,87.0,100.0,0.0,95.5,1,79.77
CIB-A1-148,D1_Code,88.0,6.12,4.4832,0.000093,100.0,100.0,100.0,43.7,85.9,100.0,0.0,96.7,1,79.57
CIB-A1-149,D1_Code,94.0,6.12,3.6193,0.000075,100.0,100.0,100.0,60.9,90.2,100.0,0.0,97.3,1,81.16
CIB-A1-150,D1_Code,86.0,6.12,4.2324,0.000088,100.0,100.0,100.0,30.1,82.5,100.0,0.0,96.9,1,78.41
